state,district,latitude,longitude,date,rainfall_mm,river_level_mm
Maharashtra,Warangal,19.1373,76.6547,27-11-2024,7.9,3492
Bihar,Kolkata,26.2017,84.7624,17-11-2024,0.0,4024
Bihar,Howrah,24.4872,86.3694,23-10-2024,0.0,3786
Tamil Nadu,Alwar,9.7419,78.5625,21-09-2024,116.9,3746
Karnataka,Chennai,13.8768,74.6636,03-07-2024,46.6,3593
Karnataka,Patna,14.9509,75.4985,14-06-2024,88.1,4543
Uttar Pradesh,Coimbatore,26.6224,81.0859,12-08-2024,92.6,5456
Assam,Jabalpur,25.6983,91.7691,12-06-2024,39.6,4425
Uttar Pradesh,Kanpur,27.1744,80.7101,09-11-2024,0.0,3688
Gujarat,Kanpur,22.7994,71.1284,09-10-2024,8.5,3376
Odisha,Lucknow,20.0449,84.6749,29-08-2024,75.8,4307
Tamil Nadu,Pune,12.2412,79.3848,16-07-2024,58.8,4008
Gujarat,Mumbai,21.3445,72.4405,27-11-2024,10.4,3380
Karnataka,Ajmer,16.045,76.0773,14-07-2024,46.2,3542
Kerala,Bengaluru,10.4867,76.7926,26-06-2024,13.5,3498
Maharashtra,Trichy,21.1457,76.8325,03-09-2024,28.5,3630
Tamil Nadu,Belagavi,10.595,79.5952,31-08-2024,14.4,3216
Uttar Pradesh,Varanasi,25.7327,79.8738,02-08-2024,14.6,3941
Kerala,Madurai,8.6825,76.4897,16-06-2024,3.1,3880
West Bengal,Durgapur,22.7415,89.8318,18-06-2024,98.5,5254
Assam,Kanpur,25.9827,92.483,14-08-2024,93.2,5097
Maharashtra,Salem,20.0269,75.5806,08-06-2024,161.2,5305
West Bengal,Jaipur,22.1143,88.6573,10-06-2024,67.1,4159
Bihar,Jaipur,25.3238,85.1687,24-08-2024,18.9,3845
Assam,Mangaluru,25.9812,90.5764,29-07-2024,22.3,4375
Uttar Pradesh,Patna,25.436,81.3759,15-09-2024,39.8,3744
Uttar Pradesh,Nashik,26.8641,81.7069,26-08-2024,0.0,3702
West Bengal,Pune,21.5492,88.5086,03-09-2024,83.6,4410
Gujarat,Ujjain,22.9514,70.1839,31-07-2024,77.7,3579
Bihar,Mumbai,26.8169,84.9034,25-07-2024,71.0,4674
Kerala,Nagpur,9.7947,76.6059,13-09-2024,27.2,3775
Maharashtra,Muzaffarpur,19.5996,76.746,29-06-2024,93.8,4475
Gujarat,Gaya,23.1379,70.6239,06-06-2024,38.6,3717
Gujarat,Aurangabad,20.8289,72.687,12-07-2024,27.9,3613
Tamil Nadu,Patna,11.905,78.7922,08-08-2024,92.7,4656
Uttar Pradesh,Agra,26.7618,80.9047,08-07-2024,47.8,4179
Karnataka,Hubballi,14.7399,76.9253,23-10-2024,0.0,3093
West Bengal,Gaya,21.2177,88.4423,04-11-2024,28.3,3833
Gujarat,Bengaluru,22.2566,70.6065,04-11-2024,6.5,3337
Gujarat,Nagpur,20.822,72.1667,07-10-2024,20.3,3780
Assam,Varanasi,25.4244,90.563,23-10-2024,21.8,4166
Tamil Nadu,Mysuru,9.9164,79.1219,16-11-2024,0.0,3592
Bihar,Belagavi,26.5106,86.7579,11-10-2024,0.0,3913
Gujarat,Indore,20.9804,72.3348,25-07-2024,87.4,3790
Kerala,Belagavi,10.3307,75.1841,21-10-2024,0.0,3533
Maharashtra,Bengaluru,18.8688,75.6612,08-07-2024,50.8,4159
Maharashtra,Bhagalpur,20.8254,74.6033,02-10-2024,0.0,3449
Maharashtra,Ajmer,20.2873,75.7092,20-10-2024,0.0,3393
Gujarat,Karimnagar,21.6963,70.8303,12-10-2024,0.0,3206
West Bengal,Hyderabad,23.5057,87.2071,14-10-2024,0.0,3453
Tamil Nadu,Durgapur,11.9471,77.222,03-07-2024,77.4,3486
Kerala,Coimbatore,9.4244,77.2266,05-09-2024,97.9,5237
Gujarat,Nagpur,21.5233,69.8616,09-11-2024,3.8,3519
Odisha,Howrah,19.4067,83.4578,12-07-2024,54.8,4538
Karnataka,Bhagalpur,14.4928,74.5624,23-09-2024,91.2,4102
Assam,Nagpur,26.6956,92.5222,04-06-2024,88.8,4481
Karnataka,Lucknow,14.929,74.9172,03-09-2024,40.8,4223
Odisha,Hyderabad,21.6474,85.3312,25-11-2024,0.0,3720
Odisha,Jabalpur,22.3777,85.6856,29-09-2024,86.6,5013
Uttar Pradesh,Madurai,27.8997,81.1012,13-06-2024,14.5,4158
Assam,Belagavi,27.6859,91.7662,12-07-2024,96.9,4582
Gujarat,Trichy,22.7809,71.0473,22-09-2024,62.9,3997
West Bengal,Kota,21.8643,87.2264,11-06-2024,58.6,3964
Gujarat,Nagpur,23.251,72.2557,21-06-2024,79.4,4237
Uttar Pradesh,Howrah,28.23,81.3132,08-06-2024,18.4,4064
Maharashtra,Madurai,19.169,76.1658,06-11-2024,0.0,3416
Bihar,Mysuru,24.5351,84.9025,23-09-2024,40.0,4226
Tamil Nadu,Pune,10.3535,77.5436,08-07-2024,48.5,3616
Odisha,Alwar,21.3248,84.2863,11-07-2024,99.1,4699
Bihar,Aurangabad,25.7874,85.7396,12-08-2024,62.9,4399
Gujarat,Pune,22.0264,72.167,31-07-2024,0.0,3118
Gujarat,Khammam,22.194,70.7282,14-07-2024,0.0,3401
Assam,Bengaluru,25.8651,92.3971,22-11-2024,0.0,4141
Maharashtra,Hyderabad,20.6295,74.8095,04-09-2024,106.3,4597
Kerala,Lucknow,9.9358,75.5103,07-06-2024,53.6,4689
West Bengal,Bhagalpur,22.5201,88.5562,04-10-2024,0.0,3524
Tamil Nadu,Khammam,10.6396,79.4259,30-06-2024,130.3,4402
Maharashtra,Darbhanga,19.151,75.5074,03-11-2024,4.1,3402
Tamil Nadu,Bhopal,11.923,78.8569,20-10-2024,9.0,3353
Assam,Ajmer,24.7211,92.3486,03-08-2024,7.4,4166
Kerala,Nizamabad,8.5585,75.9894,09-07-2024,69.1,4462
Karnataka,Bhagalpur,15.6003,75.0057,18-09-2024,23.8,3617
Assam,Bengaluru,26.3846,90.5089,05-06-2024,2.7,3968
Maharashtra,Jabalpur,21.1404,76.5328,21-07-2024,65.4,4219
Uttar Pradesh,Alwar,26.4362,79.4682,20-10-2024,25.4,4073
Assam,Varanasi,27.465,92.9916,28-07-2024,11.1,3998
Maharashtra,Chennai,19.9163,75.8942,20-11-2024,0.0,3501
Tamil Nadu,Nagpur,10.2736,79.7785,09-08-2024,55.9,3731
Tamil Nadu,Darbhanga,9.8603,79.9755,10-11-2024,0.0,3186
Odisha,Ujjain,21.867,85.6414,21-11-2024,35.7,3788
West Bengal,Kolkata,23.7179,88.476,20-06-2024,109.8,5262
West Bengal,Muzaffarpur,23.3409,87.436,17-06-2024,64.4,4195
Gujarat,Pune,21.636,71.5848,08-07-2024,138.5,4037
Gujarat,Pune,20.8018,69.7632,05-11-2024,13.6,3863
Odisha,Hubballi,19.7813,83.8661,10-10-2024,25.3,4300
Bihar,Coimbatore,25.5149,85.9276,21-09-2024,63.3,4443
Kerala,Muzaffarpur,10.2852,76.2039,17-10-2024,23.4,3569
Assam,Kolkata,25.7053,92.0745,20-06-2024,0.0,4192
Karnataka,Ajmer,16.1161,77.0004,18-10-2024,0.0,3316
Maharashtra,Asansol,19.0838,76.2491,26-07-2024,16.5,3519
Gujarat,Gaya,21.1838,70.9891,16-07-2024,0.0,3131
West Bengal,Alwar,21.2677,89.028,05-07-2024,116.5,4275
Karnataka,Khammam,15.0564,75.8389,14-09-2024,0.0,3490
Karnataka,Mumbai,14.6234,74.3919,12-08-2024,42.2,4056
Kerala,Varanasi,8.8238,75.2818,09-06-2024,115.6,4068
Bihar,Kota,26.259,85.6493,18-10-2024,6.0,3753
Karnataka,Hyderabad,14.9288,75.3074,15-10-2024,27.2,3414
Assam,Karimnagar,25.6354,93.0184,18-09-2024,61.6,4316
Tamil Nadu,Indore,11.954,80.0277,16-11-2024,19.5,3422
Tamil Nadu,Bhagalpur,10.2385,79.4093,26-09-2024,90.0,3657
West Bengal,Indore,23.0719,89.3116,12-11-2024,34.8,4293
Kerala,Bhopal,11.3234,76.5142,06-06-2024,114.1,5147
Kerala,Hubballi,11.333,75.3721,14-08-2024,80.1,3826
Kerala,Udaipur,8.8208,75.3693,09-06-2024,85.5,3971
West Bengal,Warangal,21.461,88.7868,19-11-2024,0.0,3561
Maharashtra,Nizamabad,20.9172,74.2316,27-10-2024,0.5,3590
Gujarat,Hyderabad,22.7116,71.432,15-08-2024,110.7,4186
Gujarat,Karimnagar,21.2666,71.8271,16-09-2024,7.2,3307
Odisha,Darbhanga,22.0867,85.6401,15-10-2024,18.2,3821
Uttar Pradesh,Madurai,25.4287,81.4111,03-11-2024,0.0,3689
West Bengal,Bhopal,21.6635,88.9076,16-11-2024,0.0,3525
Uttar Pradesh,Kanpur,26.1103,81.1912,30-10-2024,22.2,4185
West Bengal,Alwar,21.5367,88.2299,08-11-2024,0.0,3701
Assam,Karimnagar,24.974,91.317,02-07-2024,92.7,5067
Gujarat,Muzaffarpur,21.9005,72.4797,09-09-2024,45.8,3489
Karnataka,Gwalior,14.6027,76.638,07-07-2024,96.4,3741
Tamil Nadu,Ajmer,10.6664,77.2611,15-10-2024,0.0,3095
Maharashtra,Salem,19.2866,75.2752,07-08-2024,31.1,3527
Bihar,Asansol,24.6532,86.7097,24-11-2024,30.5,3856
Maharashtra,Indore,21.0893,74.9184,26-10-2024,7.8,3392
Gujarat,Trichy,21.5723,70.271,23-10-2024,19.4,3851
Bihar,Varanasi,26.8894,84.0345,14-06-2024,90.8,4783
Gujarat,Mumbai,22.2705,71.8655,17-08-2024,36.1,3569
Kerala,Gaya,10.7774,77.8972,21-08-2024,98.9,5328
Tamil Nadu,Bhopal,9.7142,80.0347,01-07-2024,9.2,3289
Maharashtra,Salem,18.4122,75.9801,25-06-2024,78.4,3759
West Bengal,Aurangabad,22.7458,88.9104,22-08-2024,97.6,5374
Tamil Nadu,Hubballi,11.2831,79.664,04-06-2024,47.5,3468
Maharashtra,Gaya,20.4277,75.2881,21-09-2024,29.5,3772
Odisha,Aurangabad,20.27,83.7327,07-06-2024,133.3,4504
West Bengal,Belagavi,21.4801,87.8741,04-11-2024,31.6,4294
Gujarat,Udaipur,21.0249,72.4087,21-11-2024,0.0,3738
Tamil Nadu,Warangal,12.5621,77.5274,27-10-2024,12.2,3508
Gujarat,Nashik,23.2031,70.0198,21-08-2024,0.0,3226
Gujarat,Pune,22.1662,70.7129,17-08-2024,21.2,3621
Uttar Pradesh,Howrah,26.3372,81.5954,07-08-2024,64.7,4433
Odisha,Jaipur,22.1104,83.5448,08-10-2024,8.1,4190
Karnataka,Trichy,14.2995,75.3322,03-08-2024,92.5,4465
Kerala,Khammam,9.0143,76.3892,03-09-2024,51.4,4071
Kerala,Gaya,9.5507,75.6871,17-07-2024,95.4,4895
Gujarat,Jabalpur,22.1773,72.1631,27-08-2024,77.6,3517
Odisha,Varanasi,22.3029,83.9575,31-08-2024,53.5,3995
Tamil Nadu,Ujjain,11.5053,79.6427,01-06-2024,57.6,3784
Gujarat,Mangaluru,20.8179,71.5209,04-11-2024,15.6,3597
Assam,Darbhanga,25.043,91.1433,22-08-2024,35.1,4958
Assam,Darbhanga,25.3066,90.755,02-10-2024,16.7,3975
Bihar,Kolkata,24.9661,83.9447,05-06-2024,90.9,4195
Uttar Pradesh,Khammam,28.106,80.4605,01-09-2024,77.4,4139
Kerala,Hyderabad,8.8245,75.4887,07-07-2024,95.1,4839
Bihar,Karimnagar,25.8819,84.7496,12-10-2024,28.2,4162
Bihar,Ajmer,26.1297,84.46,21-09-2024,83.6,4992
Tamil Nadu,Bhopal,12.2428,77.6434,22-08-2024,30.0,4097
Tamil Nadu,Indore,10.1938,79.1426,04-11-2024,19.1,3524
Bihar,Muzaffarpur,27.0414,84.2299,28-06-2024,12.0,3962
Maharashtra,Indore,19.17,74.3712,10-10-2024,9.7,3608
Maharashtra,Kanpur,19.3944,76.0299,19-07-2024,14.8,3433
Uttar Pradesh,Coimbatore,26.0993,79.9875,09-06-2024,14.5,3984
West Bengal,Chennai,24.0215,89.6237,09-06-2024,35.6,4294
Kerala,Belagavi,8.7626,76.8947,14-11-2024,9.5,3532
West Bengal,Ajmer,23.8102,88.2696,24-10-2024,1.9,3880
West Bengal,Salem,21.8619,88.9587,23-10-2024,9.6,4170
West Bengal,Bengaluru,21.9461,87.4405,19-08-2024,44.1,3928
Odisha,Udaipur,20.4967,85.6431,28-10-2024,17.1,3658
Karnataka,Pune,14.3329,77.0185,26-10-2024,1.0,3287
Gujarat,Jabalpur,21.574,69.8286,08-09-2024,39.6,3758
Maharashtra,Bhopal,20.5509,75.2345,09-09-2024,118.0,4666
Kerala,Hyderabad,9.3227,76.269,18-10-2024,3.5,3561
Odisha,Lucknow,21.8285,86.0592,06-10-2024,21.0,3956
Odisha,Aurangabad,20.3976,85.8654,06-11-2024,7.2,3643
Bihar,Durgapur,26.3693,86.3807,14-07-2024,18.1,3824
Karnataka,Trichy,14.8044,76.6245,25-10-2024,28.9,3945
Gujarat,Mysuru,23.5358,71.1904,14-11-2024,6.5,3328
Gujarat,Gaya,23.1627,72.4461,03-08-2024,72.8,4445
Gujarat,Aurangabad,21.8378,71.5271,12-06-2024,35.2,4175
Uttar Pradesh,Warangal,27.777,81.0343,31-08-2024,89.2,4344
Uttar Pradesh,Agra,25.7832,80.4955,29-08-2024,93.2,4711
Assam,Lucknow,26.0511,92.0111,02-10-2024,7.4,4371
Odisha,Aurangabad,21.6016,84.9417,26-06-2024,8.0,3665
Kerala,Howrah,8.6129,75.4588,09-11-2024,13.9,3444
Gujarat,Durgapur,22.4044,70.1749,08-10-2024,24.0,4021
Bihar,Indore,26.2665,86.1434,07-07-2024,81.2,4232
West Bengal,Madurai,23.7682,89.5713,23-09-2024,91.8,4818
Maharashtra,Agra,20.5263,75.5722,03-07-2024,127.2,5002
Odisha,Lucknow,22.2961,83.1723,23-11-2024,10.6,3777
Tamil Nadu,Durgapur,11.0171,77.4316,05-08-2024,64.9,3966
Bihar,Hubballi,27.3981,84.6689,23-08-2024,73.3,4329
Gujarat,Aurangabad,22.0429,70.9879,18-11-2024,16.4,3627
Assam,Siliguri,25.4387,90.85,08-07-2024,117.4,4475
Odisha,Howrah,19.5227,85.4762,19-08-2024,102.6,4242
West Bengal,Madurai,23.1451,86.9031,14-06-2024,100.1,4606
West Bengal,Varanasi,21.9006,88.2999,12-09-2024,14.5,3596
Karnataka,Gwalior,16.3782,76.4427,18-10-2024,3.5,3360
Assam,Alwar,25.5584,90.966,31-10-2024,5.6,4081
Uttar Pradesh,Bengaluru,25.9086,80.0484,20-09-2024,10.5,3946
Karnataka,Bhagalpur,15.6761,75.2484,01-10-2024,3.0,3351
Uttar Pradesh,Nizamabad,25.9601,79.6122,22-08-2024,24.6,4062
Assam,Bengaluru,25.6613,90.2426,14-11-2024,16.7,4202
Gujarat,Nagpur,20.9554,70.4726,04-06-2024,91.6,4336
West Bengal,Lucknow,23.0095,88.6585,11-10-2024,0.0,3595
Kerala,Kanpur,10.8653,77.8136,17-06-2024,99.2,4183
West Bengal,Trichy,22.7462,88.9061,31-07-2024,95.9,4102
Maharashtra,Madurai,19.0264,76.957,27-07-2024,120.3,5005
Maharashtra,Nashik,19.3771,76.5194,31-10-2024,20.3,3562
Kerala,Mumbai,9.5446,77.367,21-10-2024,18.7,3636
Maharashtra,Nagpur,18.7806,76.0528,26-06-2024,51.2,3917
Uttar Pradesh,Darbhanga,26.3574,80.923,15-09-2024,29.5,4030
West Bengal,Pune,21.7604,89.8778,14-07-2024,130.9,4474
Kerala,Trichy,9.2053,77.7197,20-09-2024,92.4,4224
Karnataka,Howrah,14.3808,76.0665,11-09-2024,9.3,3402
Kerala,Patna,9.0867,75.9697,14-11-2024,1.8,3810
Bihar,Agra,26.0611,84.2956,16-09-2024,0.0,4048
Uttar Pradesh,Bhagalpur,26.3767,81.9234,14-06-2024,24.5,4045
Tamil Nadu,Kanpur,10.9447,79.9467,23-11-2024,15.3,3677
Uttar Pradesh,Belagavi,25.5567,81.1958,26-11-2024,0.8,3778
Tamil Nadu,Salem,9.6606,78.7334,01-09-2024,42.8,3420
Gujarat,Kota,23.1093,71.0324,05-07-2024,71.8,3805
Bihar,Pune,25.552,84.3998,20-11-2024,21.2,3903
Tamil Nadu,Nashik,11.5902,77.5086,07-07-2024,60.9,3867
Maharashtra,Kota,19.7709,75.0054,03-08-2024,33.7,4183
Bihar,Mysuru,27.3016,84.9871,15-09-2024,95.8,4992
Uttar Pradesh,Durgapur,25.5295,81.7687,02-11-2024,0.0,3734
Tamil Nadu,Hyderabad,11.9985,77.2873,16-06-2024,62.2,3923
Karnataka,Jabalpur,14.5445,75.6198,15-08-2024,15.8,3621
Kerala,Howrah,10.1213,77.68,20-09-2024,65.9,4366
Tamil Nadu,Pune,11.6907,78.6321,29-07-2024,75.2,3615
Tamil Nadu,Muzaffarpur,9.9384,80.1297,30-07-2024,114.3,4911
Bihar,Chennai,24.722,84.0863,09-07-2024,48.0,4161
Bihar,Jaipur,25.9541,86.6234,15-08-2024,97.4,4757
Kerala,Howrah,10.0466,75.4735,18-09-2024,33.6,3823
Bihar,Pune,26.8484,86.115,13-06-2024,46.5,4207
Karnataka,Ajmer,13.8468,74.9451,16-11-2024,15.9,3151
Maharashtra,Prayagraj,20.9736,74.872,09-07-2024,32.0,3734
Bihar,Lucknow,25.8281,86.6356,21-07-2024,81.8,4389
Gujarat,Jabalpur,22.4342,72.1366,25-11-2024,23.4,3344
Assam,Kolkata,25.28,91.2252,09-07-2024,74.0,4743
Uttar Pradesh,Nashik,27.823,81.0851,09-08-2024,64.7,4118
Tamil Nadu,Gwalior,9.8829,78.8529,26-09-2024,96.1,4221
Gujarat,Karimnagar,23.1573,71.366,11-10-2024,35.0,3455
Tamil Nadu,Patna,11.9613,79.1054,03-07-2024,93.2,3980
Tamil Nadu,Howrah,10.8379,78.5192,13-10-2024,28.2,3618
West Bengal,Aurangabad,21.2025,88.0516,30-06-2024,91.7,4630
Maharashtra,Bhopal,18.8942,77.1541,08-08-2024,53.0,3880
Karnataka,Agra,16.7134,76.3341,16-08-2024,37.7,3673
Maharashtra,Mumbai,20.9862,75.8733,20-08-2024,68.8,3808
West Bengal,Aurangabad,21.9763,88.2433,29-06-2024,64.0,4393
Gujarat,Hyderabad,21.5966,71.1973,10-11-2024,3.5,3128
Assam,Alwar,26.3722,91.6497,28-06-2024,30.5,4782
Gujarat,Bengaluru,21.1596,72.264,16-07-2024,8.8,3232
Tamil Nadu,Bhopal,11.0136,77.2129,28-07-2024,44.1,3601
Maharashtra,Gaya,19.6892,74.6085,07-10-2024,6.6,3441
Kerala,Gwalior,9.3806,77.2653,17-11-2024,0.0,3531
Bihar,Nagpur,25.0783,84.5893,29-08-2024,68.2,4530
Tamil Nadu,Warangal,9.8598,78.2201,21-07-2024,56.8,4092
Maharashtra,Nizamabad,20.495,74.7554,11-08-2024,48.5,3798
Tamil Nadu,Warangal,9.658,79.6318,10-07-2024,2.8,3492
Karnataka,Durgapur,16.1054,76.7087,29-08-2024,4.1,3169
Gujarat,Ujjain,21.4979,70.9092,03-09-2024,113.5,4736
Gujarat,Pune,21.0199,71.8348,27-08-2024,104.4,4172
Maharashtra,Bhagalpur,19.73,75.0353,28-09-2024,56.8,3985
Kerala,Darbhanga,9.5182,76.189,20-09-2024,93.2,5374
Karnataka,Kolkata,14.0041,75.0573,11-09-2024,35.2,3616
Tamil Nadu,Agra,12.001,78.1937,14-08-2024,117.8,4882
Bihar,Patna,25.8961,86.6665,25-08-2024,39.5,3830
Uttar Pradesh,Mysuru,27.9138,79.5924,27-11-2024,4.1,3922
Odisha,Gaya,22.1054,83.6693,16-11-2024,0.0,3575
Uttar Pradesh,Bhopal,27.2825,79.4485,24-10-2024,20.1,4334
Karnataka,Karimnagar,15.4692,76.3554,08-09-2024,108.5,4561
Assam,Salem,26.8297,91.047,01-07-2024,0.0,4139
Karnataka,Kota,14.0336,76.1231,21-10-2024,17.6,3298
Maharashtra,Trichy,18.4348,76.2533,09-10-2024,11.7,3504
Assam,Hubballi,25.2777,90.5634,03-10-2024,17.8,4091
West Bengal,Coimbatore,22.1692,88.111,30-06-2024,56.1,3916
Kerala,Kolkata,11.482,77.279,15-10-2024,16.0,3669
Bihar,Ujjain,26.7388,85.5253,05-09-2024,74.6,4577
Assam,Varanasi,25.3924,93.0272,28-09-2024,28.8,4386
Maharashtra,Varanasi,20.0964,74.2727,20-08-2024,34.4,4291
Bihar,Patna,25.2586,84.6413,19-08-2024,70.1,5124
Kerala,Prayagraj,9.1164,76.8307,17-11-2024,8.6,3394
Odisha,Ajmer,20.0557,83.7523,20-09-2024,92.7,4714
West Bengal,Bhagalpur,23.8722,87.4758,18-09-2024,17.9,3954
